decision,reaction ID,genes,spore,mother,name,reaction,reaction_with_names
make_forward,NDPK4,BSU22730,0.00148384,0,Nucleoside-diphosphate kinase (ATP:dTDP),atp_c + dtdp_c <=> adp_c + dttp_c,ATP C10H12N5O13P3 + DTDP C10H13N2O11P2 <=> ADP C10H12N5O10P2 + DTTP C10H13N2O14P3
make_forward,NDPK8,BSU22730,0.00148384,0,Nucleoside-diphosphate kinase (ATP:dADP),atp_c + dadp_c <=> adp_c + datp_c,ATP C10H12N5O13P3 + DADP C10H12N5O9P2 <=> ADP C10H12N5O10P2 + DATP C10H12N5O12P3
make_forward,DTMPK,BSU00280,0.00148384,0,DTMP kinase,atp_c + dtmp_c <=> adp_c + dtdp_c,ATP C10H12N5O13P3 + DTMP C10H13N2O8P <=> ADP C10H12N5O10P2 + DTDP C10H13N2O11P2
make_forward,PRPPS,BSU00510,0.000345041,0.073574103,Phosphoribosylpyrophosphate synthetase,atp_c + r5p_c <=> amp_c + h_c + prpp_c,ATP C10H12N5O13P3 + Alpha-D-Ribose 5-phosphate <=> AMP C10H12N5O7P + H+ + 5-Phospho-alpha-D-ribose 1-diphosphate
make_forward,GUAPRT,BSU00680,0.000345028,-0.001876491,Guanine phosphoribosyltransferase,gua_c + prpp_c <=> gmp_c + ppi_c,Guanine + 5-Phospho-alpha-D-ribose 1-diphosphate <=> GMP C10H12N5O8P + Diphosphate
make_forward,PPM,BSU23500,0.000345028,0.001138812,Phosphopentomutase,r1p_c <=> r5p_c,Alpha-D-Ribose 1-phosphate --> Alpha-D-Ribose 5-phosphate
make_forward,FACOAL180_2,BSU10270 or BSU10360 or BSU18250 or BSU28560,0.000300973,0,Fatty acid  CoA ligase  octadecanoate ,atp_c + coa_c + ocdca_c <=> amp_c + ppi_c + strcoa_c,ATP C10H12N5O13P3 + Coenzyme A + Octadecanoate (n-C18:0) <=> AMP C10H12N5O7P + Diphosphate + Stearyl CoA  n C180CoA  C39H66N7O17P3S
make_forward,UAG2E,BSU35660,0.000282149,0,UDP-N-acetylglucosamine 2-epimerase,uacgam_c <=> uacmam_c,UDP-N-acetyl-D-glucosamine <=> UDP-N-acetyl-D-mannosamine
make_forward,DHFR,BSU21810,0.0000115,0.001488939,Dihydrofolate reductase,dhf_c + h_c + nadph_c <=> nadp_c + thf_c,"7,8-Dihydrofolate + H+ + Nicotinamide adenine dinucleotide phosphate - reduced <=> Nicotinamide adenine dinucleotide phosphate + 5,6,7,8-Tetrahydrofolate"
make_forward,ADPDA,BSU14190,0,0.021552367,N6 acetyl LL 2 6 diaminoheptanedioate amidohydrolase,26dapime_c + h2o_c <=> 26dap_LL_c + ac_c,"N6 Acetyl LL 2 6 diaminopimelate C9H15N2O5 + H2O H2O <=> LL-2,6-Diaminoheptanedioate + Acetate"
make_forward,ADSL1r,BSU06440,0,0.02158933,Adenylsuccinate lyase,dcamp_c <=> amp_c + fum_c,"N6-(1,2-Dicarboxyethyl)-AMP <=> AMP C10H12N5O7P + Fumarate"
make_forward,ADSL2r,BSU06440,0,0.032406908,Adenylosuccinate lyase,25aics_c <=> aicar_c + fum_c,(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate <=> 5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide + Fumarate
make_forward,AICART,BSU06520,0,0.036394729,Phosphoribosylaminoimidazolecarboxamide formyltransferase,10fthf_c + aicar_c <=> fprica_c + thf_c,"10-Formyltetrahydrofolate + 5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide <=> 5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide + 5,6,7,8-Tetrahydrofolate"
make_forward,ALAALAr,BSU04560,0,0.00318784,D-alanine-D-alanine ligase (reversible),2.0 ala__D_c + atp_c <=> adp_c + alaala_c + h_c + pi_c,2.0 D-Alanine + ATP C10H12N5O13P3 <=> ADP C10H12N5O10P2 + D-Alanyl-D-alanine + H+ + Phosphate
make_forward,ARGSL,BSU29440,0,0.006752978,Argininosuccinate lyase,argsuc_c <=> arg__L_c + fum_c,N(omega)-(L-Arginino)succinate <=> L-Arginine + Fumarate
make_forward,ARGSS,BSU29450,0,0.006752978,Argininosuccinate synthase,asp__L_c + atp_c + citr__L_c <=> amp_c + argsuc_c + h_c + ppi_c,L-Aspartate + ATP C10H12N5O13P3 + L-Citrulline <=> AMP C10H12N5O7P + N(omega)-(L-Arginino)succinate + H+ + Diphosphate
make_forward,ASPK,BSU16760 or BSU28470 or BSU03790,0,0.05861909,Aspartate kinase,asp__L_c + atp_c <=> 4pasp_c + adp_c,L-Aspartate + ATP C10H12N5O13P3 <=> 4-Phospho-L-aspartate + ADP C10H12N5O10P2
make_forward,DAPE,BSU32170,0,0.021552367,Diaminopimelate epimerase,26dap_LL_c <=> 26dap__M_c,"LL-2,6-Diaminoheptanedioate <=> Meso-2,6-Diaminoheptanedioate"
make_forward,DHQTi,BSU23080,0,0.017092813,"3-dehydroquinate dehydratase, irreversible",3dhq_c <=> 3dhsk_c + h2o_c,3-Dehydroquinate <=> 3-Dehydroshikimate + H2O H2O
make_forward,DRPA,BSU39420,0,-0.003015303,Deoxyribose-phosphate aldolase,2dr5p_c <=> acald_c + g3p_c,2-Deoxy-D-ribose 5-phosphate <=> Acetaldehyde + Glyceraldehyde 3-phosphate
make_forward,DURIPP,BSU39400,0,-0.001488939,Deoxyuridine phosphorylase,duri_c + pi_c <=> 2dr1p_c + ura_c,Deoxyuridine + Phosphate <=> 2-Deoxy-D-ribose 1-phosphate + Uracil
make_forward,G3PD1ir,BSU22830,0,0.022502832,Glycerol 3 phosphate dehydrogenase  NAD ,dhap_c + h_c + nadh_c <=> glyc3p_c + nad_c,Dihydroxyacetone phosphate + H+ + Nicotinamide adenine dinucleotide - reduced --> Glycerol 3-phosphate + Nicotinamide adenine dinucleotide
make_forward,HSST,BSU21910,0,0.017756011,Homoserine O-succinyltransferase,hom__L_c + succoa_c <=> coa_c + suchms_c,L-Homoserine + Succinyl-CoA <=> Coenzyme A + O-Succinyl-L-homoserine
make_forward,NDPK6,BSU22730,0,0,Nucleoside-diphosphate kinase (ATP:dUDP),atp_c + dudp_c <=> adp_c + dutp_c,ATP C10H12N5O13P3 + DUDP C9H11N2O11P2 <=> ADP C10H12N5O10P2 + DUTP C9H11N2O14P3
make_forward,NDPK9,BSU22730,0,0,Nucleoside diphosphate kinase  ATPIDP ,atp_c + idp_c <=> adp_c + itp_c,ATP C10H12N5O13P3 + IDP C10H11N4O11P2 <=> ADP C10H12N5O10P2 + ITP C10H11N4O14P3
make_forward,ORNTAC_1,BSU11200,0,0.006752978,Ornithine transacetylase,acorn_c + glu__L_c <=> acglu_c + orn__L_c,N2-Acetyl-L-ornithine + L-Glutamate <=> N-Acetyl-L-glutamate + L Ornithine C5H13N2O2
make_forward,PPM2,BSU23500,0,-0.003015303,Phosphopentomutase 2 (deoxyribose),2dr1p_c <=> 2dr5p_c,2-Deoxy-D-ribose 1-phosphate <=> 2-Deoxy-D-ribose 5-phosphate
make_forward,PRAIi,BSU22650,0,0.002170509,Phosphoribosylanthranilate isomerase (irreversible),pran_c <=> 2cpr5p_c,N-(5-Phospho-D-ribosyl)anthranilate <=> 1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate
make_forward,PRASCSi,BSU06450,0,0.032406908,Phosphoribosylaminoimidazolesuccinocarboxamide synthase,5aizc_c + asp__L_c + atp_c <=> 25aics_c + adp_c + h_c + pi_c,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate + L-Aspartate + ATP C10H12N5O13P3 <=> (S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate + ADP C10H12N5O10P2 + H+ + Phosphate
make_forward,PRMICI,BSU34880,0,0.003987822,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,prfp_c <=> prlp_c,1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide <=> 5-[(5-phospho-1-deoxyribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide
make_forward,PSCVT,BSU22600,0,0.017092813,3-phosphoshikimate 1-carboxyvinyltransferase,pep_c + skm5p_c <=> 3psme_c + pi_c,Phosphoenolpyruvate + Shikimate 5-phosphate <=> 5-O-(1-Carboxyvinyl)-3-phosphoshikimate + Phosphate
make_forward,SADT,BSU15590,0,0.006658848,Sulfate adenylyltransferase,atp_c + h_c + so4_c <=> aps_c + ppi_c,ATP C10H12N5O13P3 + H+ + Sulfate <=> Adenosine 5'-phosphosulfate + Diphosphate
make_forward,SHK3Dr,BSU25660,0,0.017092813,Shikimate dehydrogenase,3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c,3-Dehydroshikimate + H+ + Nicotinamide adenine dinucleotide phosphate - reduced <=> Nicotinamide adenine dinucleotide phosphate + Shikimate
make_forward,CYTOM,BSU20250,-0.000000754,-0.00000435,Cytosine 5 methyltransferase,amet_c + csn_c <=> 5mcsn_c + ahcys_c + h_c,S-Adenosyl-L-methionine + Cytosine <=> 5-Methylcytosine + S-Adenosyl-L-homocysteine + H+
make_forward,MCSNAH,BSU00180,-0.000000754,-0.00000435,5-Methylcytosine aminohydrolase,5mcsn_c + h2o_c + h_c <=> nh4_c + thym_c,5-Methylcytosine + H2O H2O + H+ <=> Ammonium + Thymine C5H6N2O2
make_forward,NDPK2,BSU22730,-0.078417931,0.209246219,Nucleoside-diphosphate kinase (ATP:UDP),atp_c + udp_c <=> adp_c + utp_c,ATP C10H12N5O13P3 + UDP C9H11N2O12P2 <=> ADP C10H12N5O10P2 + UTP C9H11N2O15P3
make_forward,G1PACT,BSU00500,-0.121193527,0.160572386,Glucosamine-1-phosphate N-acetyltransferase,accoa_c + gam1p_c <=> acgam1p_c + coa_c + h_c,Acetyl-CoA + D-Glucosamine 1-phosphate <=> N-Acetyl-D-glucosamine 1-phosphate + Coenzyme A + H+
make_forward,UAGDP,BSU00500,-0.121193527,0.160572386,UDP-N-acetylglucosamine diphosphorylase,acgam1p_c + h_c + utp_c <=> ppi_c + uacgam_c,N-Acetyl-D-glucosamine 1-phosphate + H+ + UTP C9H11N2O15P3 <=> Diphosphate + UDP-N-acetyl-D-glucosamine
make_forward,UAG2EMA,BSU35660,-0.154196706,0.154196706,UDP-N-acetyl-D-glucosamine 2-epimerase (Hydrolysis),h2o_c + uacgam_c <=> acmana_c + h_c + udp_c,H2O H2O + UDP-N-acetyl-D-glucosamine <=> N-Acetyl-D-mannosamine + H+ + UDP C9H11N2O12P2
make_forward,MAN6PI,BSU12020 or BSU35790,-5.047367234,5.047367234,Mannose-6-phosphate isomerase,man6p_c <=> f6p_c,D-Mannose 6-phosphate <=> D-Fructose 6-phosphate
make_reverse,ECOAH7,BSU18220 or BSU28540,0.001003242,0,3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA),3hhdcoa_c <=> h2o_c + hdd2coa_c,(S)-3-Hydroxyhexadecanoyl-CoA <=> H2O H2O + Trans-Hexadec-2-enoyl-CoA
make_reverse,HACD7,BSU32840,0.001003242,0,3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA),3ohdcoa_c + h_c + nadh_c <=> 3hhdcoa_c + nad_c,3-Oxohexadecanoyl-CoA + H+ + Nicotinamide adenine dinucleotide - reduced <=> (S)-3-Hydroxyhexadecanoyl-CoA + Nicotinamide adenine dinucleotide
make_reverse,AGPR,BSU11190,0,-0.006752978,N-acetyl-g-glutamyl-phosphate reductase,acg5sa_c + nadp_c + pi_c <=> acg5p_c + h_c + nadph_c,N-Acetyl-L-glutamate 5-semialdehyde + Nicotinamide adenine dinucleotide phosphate + Phosphate <=> N-Acetyl-L-glutamyl 5-phosphate + H+ + Nicotinamide adenine dinucleotide phosphate - reduced
make_reverse,DHORTS,BSU15500,0,-0.036885337,Dihydroorotase,dhor__S_c + h2o_c <=> cbasp_c + h_c,(S)-Dihydroorotate + H2O H2O <=> N-Carbamoyl-L-aspartate + H+
make_reverse,HSDy,BSU32260,0,-0.037066724,Homoserine dehydrogenase (NADPH),hom__L_c + nadp_c <=> aspsa_c + h_c + nadph_c,L-Homoserine + Nicotinamide adenine dinucleotide phosphate <=> L-Aspartate 4-semialdehyde + H+ + Nicotinamide adenine dinucleotide phosphate - reduced
make_reverse,ORPT,BSU15560,0,-0.036885337,Orotate phosphoribosyltransferase,orot5p_c + ppi_c <=> orot_c + prpp_c,Orotidine 5'-phosphate + Diphosphate <=> Orotate C5H3N2O4 + 5-Phospho-alpha-D-ribose 1-diphosphate
make_reverse,KARA1,BSU28290,-0.003443879,-0.035523191,"Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)",23dhmb_c + nadp_c <=> alac__S_c + h_c + nadph_c,"(R)-2,3-Dihydroxy-3-methylbutanoate + Nicotinamide adenine dinucleotide phosphate <=> (S)-2-Acetolactate + H+ + Nicotinamide adenine dinucleotide phosphate - reduced"
"make_reverse,change_gpr:BSU33430 and BSU33440",SULR_1,BSU33430 or BSU33440,0,-0.006658848,Sulfite reductase  NADPH2 ,3.0 h2o_c + h2s_c + 3.0 nadp_c <=> 4.0 h_c + 3.0 nadph_c + so3_c,3.0 H2O H2O + Hydrogen sulfide + 3.0 Nicotinamide adenine dinucleotide phosphate <=> 4.0 H+ + 3.0 Nicotinamide adenine dinucleotide phosphate - reduced + Sulfite
make_reversible,GAPD,BSU33940,0.039785323,0.456919194,Glyceraldehyde-3-phosphate dehydrogenase,g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,Glyceraldehyde 3-phosphate + Nicotinamide adenine dinucleotide + Phosphate --> 3-Phospho-D-glyceroyl phosphate + H+ + Nicotinamide adenine dinucleotide - reduced
make_reversible,GLUDxi,BSU22960 or BSU37790,0,1.590572841,Glutamate dehydrogenase  NAD ,glu__L_c + h2o_c + nad_c --> akg_c + h_c + nadh_c + nh4_c,L-Glutamate + H2O H2O + Nicotinamide adenine dinucleotide --> 2-Oxoglutarate + H+ + Nicotinamide adenine dinucleotide - reduced + Ammonium
make_reversible,MTHFR3,BSU11010,0,0.005702076,5 10 methylenetetrahydrofolatereductase  NADPH ,2.0 h_c + mlthf_c + nadph_c --> 5mthf_c + nadp_c,"2.0 H+ + 5,10-Methylenetetrahydrofolate + Nicotinamide adenine dinucleotide phosphate - reduced --> 5-Methyltetrahydrofolate + Nicotinamide adenine dinucleotide phosphate"
make_reversible,PPCK,BSU30560,0,1.842846797,Phosphoenolpyruvate carboxykinase,atp_c + oaa_c --> adp_c + co2_c + pep_c,ATP C10H12N5O13P3 + Oxaloacetate --> ADP C10H12N5O10P2 + CO2 CO2 + Phosphoenolpyruvate
make_reversible,TMDS,BSU17680 or BSU21820,0,0.001488939,Thymidylate synthase,dump_c + mlthf_c --> dhf_c + dtmp_c,"DUMP C9H11N2O8P + 5,10-Methylenetetrahydrofolate --> 7,8-Dihydrofolate + DTMP C10H13N2O8P"
remove,ALKP,BSU09410 or BSU05740,0,0,Alkaline phophatase,,
remove,PPS,BSU18830,0,0,Phosphoenol pyruvate synthase,,
"replace:h_na1,change_name:Na+-dependent acetate symporter ",ACt2r,BSU38240,-0.736389865,0,Acetate reversible transport via proton symport,ac_e + h_e <=> ac_c + h_c,Acetate + H+ <=> Acetate + H+
,G6Pt6_2,,0,0,Glucose-6-phosphate transport via phosphate antiport,g6p_e + 2.0 pi_c --> g6p_c + 2.0 pi_e,D-Glucose 6-phosphate + 2.0 Phosphate --> D-Glucose 6-phosphate + 2.0 Phosphate
,G1Pt6_2,,0,0,Glucose 1 phosphate transport via phosphate antiport,g1p_e + 2.0 pi_c --> g1p_c + 2.0 pi_e,D-Glucose 1-phosphate + 2.0 Phosphate --> D-Glucose 1-phosphate + 2.0 Phosphate
,2PGt6,,1.205047069,0,D Glycerate 2 phosphate transport inout via proton symport,2pg_e + h_e <=> 2pg_c + h_c,D-Glycerate 2-phosphate + H+ <=> D-Glycerate 2-phosphate + H+
,ACNAMt2,,0.154196706,0,N-acetylneuraminate proton symport,acnam_e + h_e --> acnam_c + h_c,N-Acetylneuraminate + H+ --> N-Acetylneuraminate + H+
,6PGCt6,,0.119286914,0,6 Phospho D gluconate transport inout via proton symport,6pgc_e + h_e <=> 6pgc_c + h_c,6-Phospho-D-gluconate + H+ <=> 6-Phospho-D-gluconate + H+
,THRt2r,,0.008272229,0,L threonine reversible transport via proton symport,h_e + thr__L_e --> h_c + thr__L_c,H+ + L-Threonine --> H+ + L-Threonine
,SERt2r,,0.005521298,0,L serine reversible transport via proton symport,h_e + ser__L_e --> h_c + ser__L_c,H+ + L-Serine --> H+ + L-Serine
,G3POA_BS,,0.005016211,0,Glycerol 3 phosphate O acyltransferase,0.07 fa11coa_c + 0.17 fa12coa_c + 0.01 fa1coa_c + 0.2 fa3coa_c + 0.34 fa4coa_c + 0.05 fa6coa_c + glyc3p_c + 0.1 pmtcoa_c + 0.03 strcoa_c + 0.03 tdcoa_c --> 0.01 1ag3p_BS_c + coa_c,0.07 Iso C170 CoA C38H64N7O17P3S1 + 0.17 Anteiso C170 CoA C38H64N7O17P3S1 + 0.01 Iso C140 CoA C35H58N7O17P3S1 + 0.2 Iso C150 CoA C36H60N7O17P3S1 + 0.34 Anteiso C150 CoA C36H60N7O17P3S1 + 0.05 Iso C160 CoA C37H62N7O17P3S1 + Glycerol 3-phosphate + 0.1 Palmitoyl-CoA (n-C16:0CoA) + 0.03 Stearyl CoA  n C180CoA  C39H66N7O17P3S + 0.03 Tetradecanoyl-CoA (n-C14:0CoA) --> 0.01 1 Acyl sn glycerol 3 phsophate C1868H3636O700P100 + Coenzyme A
,CMPt6,,0.001977453,0,CMP transport inout via proton symport,cmp_e + h_e <=> cmp_c + h_c,CMP C9H12N3O8P + H+ <=> CMP C9H12N3O8P + H+
,GLYt2r,,0.001929774,0,Glycine reversible transport via proton symport,gly_e + h_e <=> gly_c + h_c,Glycine + H+ <=> Glycine + H+
,DTMPt6,,0.00148384,0,DTMP transport inout via proton symport,dtmp_e + h_e <=> dtmp_c + h_c,DTMP C10H13N2O8P + H+ <=> DTMP C10H13N2O8P + H+
,ASNt2r,,0.001416848,0,L asparagine reversible transport via proton symport,asn__L_e + h_e --> asn__L_c + h_c,L-Asparagine + H+ --> L-Asparagine + H+
,PAP_BS,,0.001394704,0,Phosphatidic acid phosphatase,0.01 12dag3p_BS_c + h2o_c --> 0.01 12dgr_BS_c + pi_c,0.01 1 2 diacyl sn glycerol 3 phosphate C3436H6572O800P100 + H2O H2O --> 0.01 1 2 diacylglycerol C3436H6672O500 + Phosphate
,TYRt2r,,0.001026598,0,L tyrosine reversible transport via proton symport,h_e + tyr__L_e <=> h_c + tyr__L_c,H+ + L-Tyrosine <=> H+ + L-Tyrosine
,CHORt2,,0.000986258,0,Chorismate transport inout via proton symport,chor_e + h_e <=> chor_c + h_c,Chorismate + H+ <=> Chorismate + H+
,UMPt6,,0.0003822,0,UMP transport in via proton symport,h_e + ump_e <=> h_c + ump_c,H+ + UMP C9H11N2O9P <=> H+ + UMP C9H11N2O9P
,LYSLG_BS,,0.00010389,0,Lysylphosphatidylglycerol synthesis,atp_c + lys__L_c + 0.01 pgly_BS_c --> amp_c + h_c + 0.01 lysylpgly_BS_c + ppi_c,ATP C10H12N5O13P3 + L-Lysine + 0.01 Phosphatidylglycerol  B subtils  C3736H7272O1000P100 --> AMP C10H12N5O7P + H+ + 0.01 Lysylphophatidylglycerol C4336H8572N200O1100P100 + Diphosphate
,CYSabc,,9.53E-05,0,L-cysteine transport via ABC system,atp_c + cys__L_e + h2o_c --> adp_c + cys__L_c + h_c + pi_c,ATP C10H12N5O13P3 + L-Cysteine + H2O H2O --> ADP C10H12N5O10P2 + L-Cysteine + H+ + Phosphate
,FOLt,,1.15E-05,0,Folate transport via proton simport,fol_e + h_e <=> fol_c + h_c,Folate + H+ <=> Folate + H+
,PYNP1,BSU39400,7.54E-07,4.35E-06,Pyrimidine-nucleoside phosphorylase (cytosine),csn_c + r1p_c <=> cytd_c + pi_c,Cytosine + Alpha-D-Ribose 1-phosphate <=> Cytidine + Phosphate
,THMDt2,BSU39020 or BSU39410 or BSU32180,7.54E-07,0,Thymidine transport in via proton symport,h_e + thymd_e --> h_c + thymd_c,H+ + Thymidine C10H14N2O5 --> H+ + Thymidine C10H14N2O5
,TMDPP,BSU39400,7.54E-07,4.35E-06,Thymidine phosphorylase,pi_c + thymd_c <=> 2dr1p_c + thym_c,Phosphate + Thymidine C10H14N2O5 <=> 2-Deoxy-D-ribose 1-phosphate + Thymine C5H6N2O2
,LIPO3S24_BS,BSU38500 and BSU38510 and BSU38520 and BSU38530,5.64E-07,0,Lipoteichoic acid synthesis  n24   unliked  D alanine substituted,2400.0 ala__D_c + 2400.0 atp_c + 2400.0 cdpglyc_c + d12dg_BS_c + 2400.0 h2o_c --> 2400.0 amp_c + 2400.0 cmp_c + 4800.0 h_c + lipo3_24_BS_c + 2400.0 ppi_c,2400.0 D-Alanine + 2400.0 ATP C10H12N5O13P3 + 2400.0 CDPglycerol C12H19N3O13P2 + Diglucosyl 1 2 diacylglycerol C4636H8672O1500 + 2400.0 H2O H2O --> 2400.0 AMP C10H12N5O7P + 2400.0 CMP C9H12N3O8P + 4800.0 H+ + Lipoteichoic acid  n24   linked  D alanine substituted C19036H39872N2400O18300P2400 + 2400.0 Diphosphate
,LIPO4S24_BS,,4.70E-07,0,Lipoteichoic acid synthesis  n24   linked  unsubstituted,2400.0 cdpglyc_c + d12dg_BS_c --> 2400.0 cmp_c + 2400.0 h_c + lipo4_24_BS_c,2400.0 CDPglycerol C12H19N3O13P2 + Diglucosyl 1 2 diacylglycerol C4636H8672O1500 --> 2400.0 CMP C9H12N3O8P + 2400.0 H+ + Lipoteichoic acid  n24   linked  unsubstituted C11836H23072O13500P2400
,LIPO1S24_BS,,3.66E-07,0,Lipoteichoic acid synthesis  n24   linked  glucose substituted,2400.0 cdpglyc_c + d12dg_BS_c + 2400.0 udpg_c --> 2400.0 cmp_c + 4800.0 h_c + lipo1_24_BS_c + 2400.0 udp_c,2400.0 CDPglycerol C12H19N3O13P2 + Diglucosyl 1 2 diacylglycerol C4636H8672O1500 + 2400.0 UDPglucose --> 2400.0 CMP C9H12N3O8P + 4800.0 H+ + Lipoteichoic acid  n24   linked  glucose substituted C26236H47072O25500P2400 + 2400.0 UDP C9H11N2O12P2
,LIPO2S24_BS,,1.88E-07,0,Lipoteichoic acid synthesis  n24   linked  N acetylglucosamine substituted,2400.0 cdpglyc_c + d12dg_BS_c + 2400.0 uacgam_c --> 2400.0 cmp_c + 4800.0 h_c + lipo2_24_BS_c + 2400.0 udp_c,2400.0 CDPglycerol C12H19N3O13P2 + Diglucosyl 1 2 diacylglycerol C4636H8672O1500 + 2400.0 UDP-N-acetyl-D-glucosamine --> 2400.0 CMP C9H12N3O8P + 4800.0 H+ + Lipoteichoic acid  n24   linked  N acetyl D glucosamine C31036H54272N2400O25500P2400 + 2400.0 UDP C9H11N2O12P2
,CITt11,BSU07610,6.42E-08,2.22E-07,Citrate transport in via Mn complex,cit_e + h_e + mn2_e --> cit_c + h_c + mn2_c,Citrate + H+ + Manganese --> Citrate + H+ + Manganese
,Kt2r,(BSU31090 and BSU31100) or (BSU14510 and BSU13500) or BSU26640,3.35E-08,0,Potassium reversible transport  via proton symport,h_e + k_e --> h_c + k_c,H+ + Potassium --> H+ + Potassium
,NACt,,1.30E-08,0,Nicotinic acid transport,nac_e --> nac_c,Nicotinate --> Nicotinate
,NADS1,BSU03130,1.30E-08,1.95E-08,NAD synthase (nh3),atp_c + dnad_c + nh4_c --> amp_c + h_c + nad_c + ppi_c,ATP C10H12N5O13P3 + Deamino-NAD+ + Ammonium --> AMP C10H12N5O7P + H+ + Nicotinamide adenine dinucleotide + Diphosphate
,NAPRT,BSU31750,1.30E-08,-1.30E-08,NAPRTase (rev),h_c + nac_c + prpp_c <=> nicrnt_c + ppi_c,H+ + Nicotinate + 5-Phospho-alpha-D-ribose 1-diphosphate <=> Nicotinate D-ribonucleotide + Diphosphate
,NNATr,BSU25640,1.30E-08,1.95E-08,Nicotinate-nucleotide adenylyltransferase,atp_c + h_c + nicrnt_c <=> dnad_c + ppi_c,ATP C10H12N5O13P3 + H+ + Nicotinate D-ribonucleotide <=> Deamino-NAD+ + Diphosphate
,CITt15,BSU07610,5.76E-09,1.30E-08,Citrate transport in via Zn complex,cit_e + h_e + zn2_e --> cit_c + h_c + zn2_c,Citrate + H+ + Zinc --> Citrate + H+ + Zinc
,ADSK,BSU15600,6.09E-19,0,Adenylyl-sulfate kinase,aps_c + atp_c <=> adp_c + h_c + paps_c,Adenosine 5'-phosphosulfate + ATP C10H12N5O13P3 <=> ADP C10H12N5O10P2 + H+ + 3'-Phosphoadenylyl sulfate
,APNPT,BSU23760,6.09E-19,0,ATP:pantetheine 4'-phosphotransferase,atp_c + ptth_c <=> adp_c + h_c + pan4p_c,ATP C10H12N5O13P3 + Pantetheine <=> ADP C10H12N5O10P2 + H+ + Pantetheine 4'-phosphate
,PAPSR,BSU15570,6.09E-19,0,Phosphoadenylyl-sulfate reductase (thioredoxin),BSU28500-MONOMER + paps_c --> BSU28500-MONOMER_mod_Oxidized + 2.0 h_c + pap_c + so3_c,"Reduced thioredoxin + 3'-Phosphoadenylyl sulfate --> Oxidized thioredoxin + 2.0 H+ + Adenosine 3',5'-bisphosphate + Sulfite"
,PNTOt2,,6.09E-19,0,Pantothenate reversible transport via proton symport,h_e + pnto__R_e <=> h_c + pnto__R_c,H+ + (R)-Pantothenate <=> H+ + (R)-Pantothenate
,2HXMPt6,,0,0,2  hydroxymethyl phenol transport inout via proton symport,2hxmp_e + h_e <=> 2hxmp_c + h_c,2  Hydroxymethyl phenol C7H8O2 + H+ <=> 2  Hydroxymethyl phenol C7H8O2 + H+
,2PGLYCt6,,0,0,2 Phosphoglycolate transport inout via proton symport,2pglyc_e + h_e <=> 2pglyc_c + h_c,2-Phosphoglycolate + H+ <=> 2-Phosphoglycolate + H+
,2S6HCCi,BSU30820,0,0,2 succinyl 6 hydroxy 2 4 cyclohexadiene 1 carboxylate synthase,akg_c + h_c + ichor_c --> 2shchc_c + co2_c + pyr_c,"2-Oxoglutarate + H+ + Isochorismate --> 2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate + CO2 CO2 + Pyruvate"
,3AMBAt2,BSU06310,0,0,3 aminobutyrate transport in via proton symport,3amba_e + h_e --> 3amba_c + h_c,3 aminobutanoic acid C4H9NO2 + H+ --> 3 aminobutanoic acid C4H9NO2 + H+
,3PGt6,,0,0,3 Phospho D glycerate transport inout via proton symport,3pg_e + h_e <=> 3pg_c + h_c,3-Phospho-D-glycerate + H+ <=> 3-Phospho-D-glycerate + H+
,3UMPt6,,0,0,3  UMP transport in via proton symport,3ump_e + h_e <=> 3ump_c + h_c,3  UMP C9H11N2O9P + H+ <=> 3  UMP C9H11N2O9P + H+
,5MTRt2,,0,0,5 Methylthio D ribose transport inout via proton symport,5mtr_e + h_e <=> 5mtr_c + h_c,5-Methylthio-D-ribose + H+ <=> 5-Methylthio-D-ribose + H+
,AAMYL_1,BSU03040,0,0,Alpha amylase,starch_e --> dextrin_e,Starch C12H20O10 --> Dextrin C12H20O10
,AB6PGH,BSU38560 or BSU40110,0,0,Arbutin 6-phosphate glucohydrolase,arbt6p_c + h2o_c --> g6p_c + hqn_c,Arbutin 6-phosphate + H2O H2O --> D-Glucose 6-phosphate + Hydroquinone
